,Unnamed: 0,content
10,10,　　网综尺度相对较大原本是制作优势，《奇葩说》也曾经因为讨论的话题较为前卫一度引发争议。但《奇葩说》对于价值观的把握和引导让其中内含的“少儿不宜”只能算是小花絮。而纯粹是为了制造话题而“污”得“无节操无下限”的网综不仅让人生厌，也给节目自身招致了下架的厄运。对资本方而言，即便只从商业运营考量，点击量也分有价值和无价值，节目内容的变现能力如果建立在博眼球和低趣味迎合上，商业运营也难长久。对节目制作方与平台来说，为博一时的高点击而不顾底线不仅是砸自己招牌，以噱头吸引而来的观众与流量也是难以维持。
11,11,　　问题
12,12,　　同质化谈话节目已是“落后生产力”
13,13,　　2016年的网络综艺节目同质化相当严重，脱口秀、谈话类节目这样的小成本网综颇有泛滥之感。虽然这些节目都进行了不同的场景设置，披上了不同的“外衣”，但是实质上仍然缺乏形态感，最简单的就是把类似台湾那样的通告艺人(甚至是完全不知名的小众艺人)弄过来访谈，设计一些话题进行互动。如网综里所有的美食节目基本都是打着美食的旗号挖隐私和做明星的人物关系，比如《姐姐好饿》——这已经算是相当有存在感的网综了，小S在节目里就是一个好色女人，打着美食的旗号解读男明星的方方面面。《饭局的诱惑》中也是设置了饭局这一场景，由主持人对明星的私生活八卦等进行挖掘，寻找爆点。
14,14,　　这些以“话语”为主要元素的网络综艺节目，一开始也许会因场景形式给观众带来新奇体验，其内核实则都是“谈话类节目”。主持人卖力地制造话题、节目嘉宾拼命卖弄综艺感，使得观众极易产生疲劳感。在多款网综中，艺人以同样的方式“抛梗、接梗”，甚至一言不合就讲“污段子”让这些网综气质过于相似，辨识度都成问题，进一步降低了出现爆款的可能性。
15,15,　　症结
16,16,　　一味依赖明星对节目无益
17,17,　　网络综艺节目一般是季播，短时间内即可录制完成，而且网络视频平台传播更加广泛，使明星的品牌价值最大化。许多制作人将网综的未来寄托在“长时间的、可持续的培养粉丝”上。为了契合目标受众，不少网络综艺节目不惜花高片酬邀请明星参加，甚至“量身定做”节目。然而带来的效果却十分一般。如为小S度身打造的网络综艺《姐姐好饿》在开播不到24小时点播率直逼2000万。但因为其内容较为空洞，小S与嘉宾们的互动也略显尴尬，导致节目反响不佳，接下来远没有达到预期的效果。虽然小S卖力地抛出一个又一个重口味的包袱：飙演技、吃洋葱、摸肌肉、对骂，但是戏剧化主持这张在小S以往的节目里无往不胜的王牌，这回几乎完全不奏效。
18,18,　　这充分说明了明星效应的失灵，甚至粉丝经济转化率的问题。《奇葩说》创始人马东曾经指出：“粉丝经济这个词中间缺了粉丝内容经济，粉丝认为他喜欢某个明星，但是粉丝实际上是喜欢明星带来的内容。”
19,19,　　打好明星牌，是网络综艺节目成功的元素之一。但是一味地依赖明星效应对于生产制作方来说无疑是一种危险的行为。一来观众不傻，所谓的“骨灰粉”、“脑残粉”基数并没有想象中那么庞大。二来对于明星来说，这种行为也非一个长期性行为，是对自身品牌的消费。粉丝效应、名人效应对一档节目的营销、收视影响已经愈发有限，内容和制作才是决定一档节目成败的最终和决定性因素。
20,20,　　展望
21,21,　　成为“现象级”需要思想的对撞
22,22,　　根据各视频网站公布的2017年即将上线的网络综艺节目，2017年自制综艺数量预计将达108个。爱奇艺、芒果TV、腾讯视频位列前三。主题类型不变，以真人秀、脱口秀、访谈三大类为主。体验类真人秀网综市场最火热，其次是脱口秀网综。生活服务类、亲子类、游戏竞技类、音乐类、交友类主题的网络综艺仍是创作主流。除了延续既有的口碑综艺，稳固既有的收视市场，如《奇葩说》、《我去上学了》《十三亿分贝》等。2017年各大视频网站还对生活服务类主题进一步细分，出现较多“旅行”为主题的网综。芒果TV就将在2017年推出《花样少年》、《不可掉头》、《世界上的另一个我2》、《在路上》等多档旅行节目。
23,23,　　数量多不叫繁荣，只能叫拥挤。供大于求加上品类单一必然会带来审美疲劳，这种现象会迫使综艺加强创新力度。所以2017要想成为现象级节目一定要敢于冒险，剔除同质的、内容形式单一的节目，挖掘能激起受众共鸣的有价值的节目。
24,24,　　在题材方面，言之无物的谈话类节目必然要被大批量淘汰，贴近生活、符合社会心态的节目需要重点发掘。国内有很多值得关注的社会议题，都可以成为节目设计的起点。一个优质节目，首先它的选题要触动人心，越多的人被这个选题撬动，这个节目成为现象级的可能性越大。节目形态与社会心态的匹配非常重要。比如反映家庭教育中父亲角色缺失的《爸爸去哪儿》，讨论范围涵盖甚广的《奇葩说》。
25,25,　　有趣也是最重要的因素之一，但如何把握尺度又让观众耳目一新需要制作方多动脑。追求“网感”要注意不能流于形式。做出网感必须要有争议性的话题设计，而且这些话题不是表面上形式上的话题噱头，而是真正价值观与思想的对撞。比如很多人喜欢看《奇葩说》等节目，恰恰就在于此，节目中呈现的价值观和引人思考的角度，正是它最珍贵的地方。这样的对撞才是有价值的，真正能激起观众共鸣的。最后才是产生形态的要素，明星、讲什么故事、赛制、游戏。有质感的、人性化、灵活的设计，把民众最关心的话题做成节目才能脱颖而出，才有可能成为现象级综艺。
26,26,　　□枕书(传播学硕士，媒体人)
27,27,　　如今电视剧市场遍地都是IP，而真正能将观众“一击即中”的超级IP，当属那些历经时间考验、一提起就令人内心就波澜起伏的经典作品——比如《射雕英雄传》。没错，这部曾经被改编过无数版本的金庸名作，今年又出新版了!由郭靖宇监制、蒋家骏执导，杨旭文、李一桐领衔主演的52集新版《射雕英雄传》将于1月9日22:00在爱奇艺和东方卫视开播，每周一、二更新2集。靖哥哥、蓉儿再出江湖，新版《射雕英雄传》会带给观众怎样的惊喜呢?
28,28,"　,　经典巨制翻拍有理"
29,29,　　这是拍给当下年轻人的“射雕”
30,30,　　金庸作品《射雕英雄传》自出炉以来，就反复被拍成影视作品，最早可以追溯至1958年曹大华、荣小意主演的电影。之后有1976年白彪、米雪版，1983年黄日华、翁美玲版，1988年黄文豪、陈玉莲版，1994年张智霖、朱茵版，2003年李亚鹏、周迅版，2008年胡歌、林依晨版等等，要说其中最经典的，当属1983年版，可谓整整影响了一代人。
31,31,　　经典巨制一而再再而三地被翻拍，从艺术的传承和发展来看有其必要性。每一代人都有权利享受经典，每一代人都应该有属于自己的《射雕英雄传》。每次改编，都是去粗取精的过程，都是新观念取代老观念的过程。1983年版的《射雕英雄传》再经典，但是无论是场景、道具，还是画质、特效，已经远远不能满足当下年轻人的审美。这部即将与广大观众见面的新版《射雕英雄传》，正是为当下的年轻人，尤其是90后、00后打造的，这是属于他们的“射雕”，属于他们的武侠传奇。
32,32,"　,　有望延续造星神话"
33,33,　　老戏骨保驾护航 新人备受期待
34,34,　　新版《射雕英雄传》大胆启用90后新人演员，但别看众位主演的名字还不是太耳熟能详，但他们都是拥有丰富表演经验、冉冉升起的新星，在年轻观众中也有一定的知名度。比如扮演郭靖的杨旭文，曾在《美人制造》《诛仙青云志》《坏蛋必须死》等影视剧中有着上佳表演;扮演黄蓉的李一桐在网络剧《半妖倾城》中表现出彩，有着晋升当红花旦的潜质。另外，扮演杨康的陈星旭是童星出身，3岁即参演电视剧《激情燃烧的岁月》，之后还屡屡参演《金婚》《山楂树之恋》等大导演的影视作品，“穆念慈”孟子义也有着《武神赵子龙》《人民检察官》等多部作品。
35,35,　　老戏骨的加盟是新版《射雕英雄传》的另一大看点。比如1983版中的“杨康”苗侨伟，此次在新版“射雕”中扮演东邪黄药师，角色转变让人迫不及待想一睹为快。还有吕良伟扮演的一灯大师、赵立新扮演的洪七公、王奎荣扮演的柯镇恶……无不令人期待。
36,36,　　《射雕英雄传》一直以来都是“造星神剧”，谁演谁火，甚至1983版中，跑龙套的周星驰、刘嘉玲后来都成为巨星。新版《射雕英雄传》有望延续这一传统，从一众新人里捧出几位大咖。
37,37,　　金牌班底保证品质
38,38,　　新年新气象尽在新版“射雕”
39,39,　　新班底、新演员，必然会给经典带来清新之风。从爱奇艺、华策影视、完美建信、完美世界影视这样的大牌出品方，到监制、导演、演员的豪华阵容，新版《射雕英雄传》的品质可期。蒋家骏作为经验丰富的香港导演，更懂在香港成就创作巅峰的金庸先生，必然会对金庸原著做出更合理、更与时俱进的解读。
40,40,　　《射雕英雄传》的核心无疑是侠义精神，“侠之大者，为国为民”，这个宗旨从过去到未来皆不会变。但具体到书中人物的性格和事件细节，相信随着时代的进步，当下的年轻观众也会有着新解读。就连金庸先生本人，也曾大费周章改写过自己的多部作品，可见很多观念是会随着社会发展而变化的。
41,41,　　总之，2017年开年绝对不能错过的大戏，非新版《射雕英雄传》莫属。1月9日爱奇艺2017开年钜献，敬请期待。
45,45,在信最近公开的一张亲子照中，女儿遗传了老爸人高腿长的优点。
46,46,　　前不久见到信的时候，他刚染了一头银发，整个人看上去英气十足。除了造型原因，也许这种精气神儿还来自于接下来令人期待的工作安排——一方面，他参与创作了“十分之九点五”的新专辑《大爷门》刚刚于上周正式上线，另一方面，新巡演“Gentle Monster”也即将在今年5月从上海启航。
47,47,　　《死了都要爱》《海阔天空》《离歌》……一直以来，在提到信时，人们总是会在前面冠以“摇滚巨人”的名号。不过，自打去年年初参加完《我是歌手》等综艺节目后，“巨人”却逆生长成了“巨婴”，因为观众发现，这个一直以铁肺唱功著称的Rocker，私底下其实是一个兼具暖男、搞怪与迷之羞涩气质的“大儿童”。在接受新京报记者的采访中，也随处可见信在音乐话题内外的反差萌——比如，虽然拿起话筒就可以飙出震撼高音，但舞台下的他讲话声音其实十分糯软；比如，在这个人人化身“低头族”的时代，他却没有手机；再比如，在创作重金属摇滚之余，他也会读木心的诗集，“对啊，反差是很多啊，”他笑了笑，自己也点头承认了。
48,48,　　摇滚人
49,49,　　嗯，我是一个有种的人
50,50,　　“有种人，永远不会被驯服”，提起这句出现在“Gentle Monster”新巡演海报上的标语，信波澜不惊地眨眨眼睛，“嗯，我是一个有种的人。”
51,51,　　热爱摇滚音乐的人，大多直率敢言，并且拥有一颗不安分的心，信也一样。当年在酒吧驻场，以一首蝎子乐队的《Still loving you》被经纪人识中的他，直言自己从小就是个内心叛逆的小孩，“虽然很多人会把叛逆的那一面给隐藏起来，但其实叛逆是一个很有价值的东西，因为叛逆会令人成长。”
52,52,　　一直以来，台湾都以浓厚的人文氛围著称，出生于上世纪70年代的小孩，大多都听着台湾民谣长大。不过，少年时代的信，却对西洋音乐更感兴趣：“小时候我家就有很多黑胶唱片，当时虽然听不懂外国的摇滚，不过还是觉得，怎么那么过瘾。”充满力量，是信最初爱上摇滚的一大原因，不过长大后，他才渐渐明白了摇滚的另一层含义，“比如Bob Dylan，他的歌词都很摇滚，但是音乐形态却让人很舒服。所以什么是摇滚乐，我觉得只要是能进入到你心里，把你反叛不认输的精神勾出来，都是很棒的。像我之前有一首歌叫《梦什么想》，因为总有人教你去实现梦想，我就要反着来。”
53,53,　　《大爷门》
54,54,　　看十分钟新闻，就可以写一整张专辑
55,55,　　在刚刚结束的2016年，信的全新专辑《大爷门》正式发布。在这张充满“爷们儿感”的新作里，他一个人就包揽了9.5首歌曲的创作，“当时另外半首突然写不出来，就跑去找了一个好朋友许常德来帮我一起完成。”其实，信一直注重自己的创作者身份。不同于一些拥有创作怪癖的音乐人，信的创作时间固定且规律：“在熟悉的环境下，泡个咖啡，就开始在琴上乱弹。”如果仔细品咂信的创作，你会发现，他既能够驾驭重金属摇滚，也可以写出深情小品，“其实，不同曲风的歌曲都是在同样的时间里创作的，因为情歌不一定要经历很多感情才能写，摇滚也不一定为了抗议才写。我慢慢地发现了一个创作诀窍，那就是——看新闻。”信一脸正经地说，他的创作素材有不少都来源于社会新闻、政治新闻，“在台湾，看十分钟新闻就可以写一整张专辑，看得人气都气死了。”他挑挑眉毛，“然后还有，看书也很重要，像我最近在看《娱乐至死》，之前还读过木心的诗集，总之就是会东看看西看看。因为别人的想法都写出来给你看了，你不接收的话，就是你的损失啊。”
56,56,　　老干部
57,57,　　从不用手机，电话号码全靠背
58,58,　　除了新闻和书，直播这种“不可思议的”传递信息的新方式，最近也勾起了信的兴趣。不过，在面对直播时，信遇到了一个大问题，那就是：他没有手机。在如今这个社会，不少人离开手机寸步难行，但信却觉得，没有手机的日子很舒服，“有了手机，就会一直在刷刷刷而忽略掉身边的人。有人说网络世界很大，但那都是你没有办法亲身去感受的事情。像演唱会也是，大家都已经到了现场，第一件事却是拿着手机对着屏幕拍，真人就在前面啊，那还不如直接看转播好了。”
59,59,　　因为不用手机，又喜欢旅行，所以在工作之外的日子，信过得十分逍遥自在。“每次当我回到台湾看到新闻时，就觉得大家好吵。我在海边吹着海风，喝着啤酒时，都会觉得，既然世界可以这么美好，干吗为一点小事气成那样。”不过，提前步入“老灵魂”阶段的信也承认，没有手机有时也会给他带来一些窘况，“比如约好的时间临时取消了，我就会不知道。有通告，或是朋友跟我在微博、脸书上私信约吃饭，可能我已经出发在路上了，对方又要临时改时间，我就只好去找公共电话打过去。很多朋友的电话号码我都背下来了，就像小时候那样。”
60,60,　　在2016年上半年凭借tvN热播剧《又是吴海英》进入大众视线之后，女演员徐玄振又在年底靠着SBS电视剧《浪漫医生金师傅》，迎来了个人演艺生涯的巅峰。这部医疗爱情剧，在《鬼怪》、《蓝色大海的传说》等“大剧”的冲击下，仍取得了25%以上的超高收视率；在刚刚结束的“2016年SBS演技大赏”上还为徐玄振带来了最优秀女演员大奖。同时，由于与本剧男主演柳演锡绝佳的化学反应，二人还一起收获了年度最佳情侣奖，大奖当日徐玄振开玩笑说“今天就是为情侣奖来的”。
61,61,　　曾作为女团成员出道
62,62,　　徐玄振1985年出生于韩国首尔，早在2001年的高中时代，她就曾被星探挖掘，进入SM公司接受培训，并作为女子偶像组合M.I.L.K的成员出道，徐玄振在组合中担任主唱与领舞。出道当时的M.I.L.K曾被媒体称作“第二个SES组合”，但后来由于组合成员脱队，加上2002年的首张正式专辑销量未达预期等原因，在不久之后的2003年组合就被解散雪藏。歌曲《再次相逢的世界》创作之初原本被定为M.I.L.K第二章专辑的主打曲，但随着组合解散，这首歌也跟着埋藏地下，直到2007年著名偶像组合少女时代凭借这首单曲横空出世，才得以重见天日。
63,63,　　组合解散之后，徐玄振继续作为SM公司的签约歌手活动。这一时期的徐玄振参与了许多影视剧OST的演唱，不时在热门电影电视剧中出演一些小配角。2005年，徐玄振参演了对自己的职业生涯选择产生重大影响的音乐剧《音乐之声》。这是她通过公司推荐，第一次以演员身份登上舞台。在这部音乐剧的演出过程中，她认识到自己的不足，找到了一位十分投契的演技指导老师，从此每周两次地坚持去上演技课，长达四年之久。她说自己“当时还是无名小卒，每周去上课觉得跟别人上大学也没有什么不同。”
64,64,　　这一时期的徐玄振曾在热播剧《黄真伊》中出演金恩浩的妻子，当时她演员经历还十分空白。在表演一场哭戏前，由于周围全都是人，徐玄振害羞得演不出来。她说：“那时候我窘得一边笑一边问怎么办，导演气得骂都骂不出来。那场景现在想起来也还是我演艺生涯的阴影。每次演哭戏都有点儿紧张。”
65,65,　　好友具惠善是“伯乐”
66,66,　　2009年与SM公司解约之后，徐玄振正式开始了自己的演员之路。她最早的合作对象是好友具惠善，后者曾出演韩版花样男子的女主角，为观众所熟知。2010年，她接连演出了具惠善导演的短片《快乐好帮手》和长篇文艺电影《妖术》，后者是徐玄振第一次担纲女主角的正式电影作品。她在影片中饰演钢琴女孩智恩，这让徐玄振第一次以演员身份走进大众视野。具惠善在最近接受采访时，对明珠蒙尘的好友终于发挥价值表示无比自豪。她说徐玄振“对我而言不是作为演员的竞争对手，而是‘我的演员’，觉得这个宝贝最开始是我挖出来的。”
67,67,　　此后的徐玄振开始片约不断，其中尤以历史剧为主。虽然不尽是主角，但她也甘之如饴。2013年，徐玄振主演MBC史剧《帝王之女守白香》，这是她第一次担纲长篇电视剧的主角。次年，她凭借扎实的演技得到了tvN电视台的瞩目，参演由著名编剧宋载正执笔，郑容和等主演的大型浪漫历史剧《三剑客》。此后的2015年，她又在同台现代剧《一起吃饭吧2》里出演了“吃货白秀智”，获得了极佳反响。由于之前主要演出历史剧和家庭剧，这部作品为徐玄振带来了不少新的年轻观众和演戏经验，“史剧一般会把很多场景集中到一天拍，就会出现一天要哭十几场的情况。而生活剧没有那么激烈的情感表达，不用大哭大笑，还挺不习惯的。”
68,68,　　日常生活中的徐玄振无论性格还是打扮都比较中性，比起裙子更爱穿T恤仔裤，说话间言辞也爽朗随意。对年纪小的后辈来说，比起姐姐她更像是个哥哥。尽管已在史剧中建立了清纯可爱的形象，但她还是更喜欢白秀智这类角色，“比起动辄流泪的淑女，这类角色演起来非常快乐。也不必在意形象，好不好看都没关系。”
69,69,　　迟来的演员巅峰期
70,70,　　2016年是徐玄振的丰收之年。上半年，她与神话组合的队长文晸赫共同主演了tvN爱情剧《又是吴海英》，剧中她出演了倒霉的土包子女主角吴海英，被称为“土海英”的她由于与同名同姓的完美女二号形成对比而倍感痛苦，但经历一系列波折后，最终抱得美男归。本剧收视率自首播高开一路飙升，打破同台同时段历史最高收视，收获了极佳的人气和口碑。这个既本色又接地气的女性角色，也为徐玄振本人带来了前所未见的人气。下半年，她又凭借三大台之一的SBS爱情剧《浪漫医生金师傅》再创新高，不仅创造了超过25%的最高收视，还在年末的SBS演技大赏中大包大揽地拿下三个奖项，迎来了事业巅峰。
71,71,　　2017年1月4日，徐玄振与车太贤、金裕贞等共同主演的电影《因为爱》作为贺岁档在韩国上映。故事讲述车太贤饰演的男主角因为偶然的事故成为爱的传递者，通过穿越到别人身上的方式帮人获取爱，是一部浪漫喜剧片。该电影以英年早逝的韩国歌手柳在夏创作的经典歌曲作为线索，电影标题《因为爱》正是该歌手的成名之作。徐玄振在片中饰演惧怕舞台表演的歌手志愿生“贤京”，并在片中弹唱了歌曲《因为爱》。
72,72,　　回想入圈之初，父母曾强烈反对她从事演艺工作，这种态度持续了七八年之久，其间徐玄振也无数次想要放弃。但她认为自己会做的不多，除了唱歌演戏也没有更好的出路，便一直坚持。“我没有什么优点，就是能撑，什么时候找我我都在那儿。”
73,73,　　撰文/韶光
74,74,　　网瘾少年
75,75,　　植物大战僵尸打到世界第一
76,76,　　虽然没有手机，但是iPad却在信的工作生活中占据了重要位置——通过它，信不仅创作出不少金曲，还缔造了《植物大战僵尸》的神话战绩，“我已经打了有将近十年的时间。有一次还打到了排行榜中的世界第一，简直吓了一跳。后来我就干脆把这个游戏卸载了，因为它占据了我的太多时间，我不愿意被它控制。”
77,77,　　“醒过来”之后的信画风一变，转而化身为一枚学霸——“最近我下了很多英文教材，因为我曾经走过很多国家，也还想去更多的国家。虽然我的语言水平还可以，但我希望认识一些不同国家的朋友，那样我就需要很强的语言能力才能了解他们的世界。因为现在我去国外旅行，已经逐渐从两三天延长到了一两个月，所以挑一个语言的话，就是全世界通用的英文了。”不仅对照着英文教材苦学，信还下载了不少英文电影，“我一般先看中文字幕，再看英文字幕，再把字幕关掉听一遍，不行的话就从头再来。如果我能把打植物大战僵尸的恒心用来学英语，那么两三年内，我的英文水平应该会很厉害，说不定还可以给人当翻译呢。”
78,78,　　A 父女情
79,79,　　遗憾陪女儿太少
80,80,　　前段时间，信在微博上晒出了与女儿“小丸子”的一张照片，照片里的小丸子明显继承了爸爸的长腿基因。不过，当提起自己的女儿，信却说，跟女儿相处是他这辈子觉得最遗憾的事情——“我牺牲掉了很多和她相处的时间，这个是弥补不回来的。因为工作原因，我每个礼拜都在外地跑，只有一点点时间可以和她相聚。有一次我去参加综艺节目，大家分享了自己最难忘的一顿饭，我最难忘的就是，有一次长途工作后回台湾的飞机上，吃到的一份清粥小菜，虽然不是很美味，但是我吃着却很难过很难过。因为长时间和家人分开，我心里就在想，到底要赚多少钱才是够的，到底要牺牲掉多少事情才是值得的。而且她小时候的那个年代还没有智能手机，所以除了照片之外，我没办法用其他方式记录她的很多瞬间，当时我又很穷，所以很多事情错过就错过了，很后悔没有多陪陪她。”
81,81,　　B 备战演唱会
82,82,　　最近忙着跳郑多燕
83,83,　　由于今年的巡演日程排布密集，信透露最近的他正在积极健身——跑步、游泳、锻炼核心肌群，还要跳郑多燕减肥操。
84,84,　　不仅如此，为了完美呈现“Gentle Monster”的内涵，他还一直在寻找阅读跟“野兽”相关的书籍，“我希望可以让大家在演唱会上看到我从一个‘野兽’不断演化成长的过程，摇滚当然还是主轴，不过搞不好还有儿歌、乐园之类的。因为大家对我的既定印象太深刻了，那怎么样才能让人家觉得我不一样了、提升了，但是还依然保有那种野性，这是我最近一直在想的问题。”
85,85,　　采写/新京报记者 杨畅 摄影/新京报记者 彭子洋
86,86,"　　,中新网,北京1月2日电(记者 张曦)1日，电影《红颜雅韵》在北京举行开机仪式，片方透露，该片以旗袍国际品牌“红颜雅韵”为背景，讲述围绕旗袍展开的奇幻故事，计划于2017年4月开机。"
87,87,　　据片方介绍，电影《红颜雅韵》不仅是为了让国粹文化在银幕上得以展现，更是为了让旗袍文化“全球化、年轻化”，通过影像画面让更多的人对中国旗袍文化及中华民族的智慧能够有全新的认识。
88,88,　　记者获悉，该片的演员阵容尚未最后确定，包括沈腾等演员都在邀请名单中。片方还推出了全球演员海选活动，即从红颜雅韵全球会员佳丽中进行海选，借此让《红颜雅韵》电影项目在全球范围预热。(完)
89,89,　　全球最具权威性的街舞赛事Juste Debout(简称JD)中国赛区于北京时间2017年1月3日落下帷幕。300名最顶尖的街舞爱好者经过历时两天的激烈角逐，终于决出单项冠军。今年3月，这批代表中国街舞最强势力的舞者，将前往JD世界街舞大赛的总部法国，与来自世界各地的赛区冠军争夺总冠军。一场关于梦想和光荣的比拼，YY LIVE届时将继续全程直击，一起感受激动人心的瞬间！
90,90,　　中国最强街舞者诞生 肖杰炫舞夺冠掀高潮
91,91,　　经过1月2-3日两日酣战，本届JD世界街舞大赛中国赛区POPPING、HIPHOP、LOCKING、HOUSE四大舞种的冠军的街舞英雄榜揭晓——
92,92,　　POPING组的片片 & JOUREY；
93,93,　　LOCKING组的肖杰 & LOCKING DOU；
94,94,　　HIPHOP组的JC俊 & 阿K；
95,95,　　HOUSE组的KLEBER & J-YANG。
96,96,　　还有KIDS ALL STYLE组(少儿组全能挑战)的俞文乐；
97,97,　　代表中国街舞新势力的他们，将在3月踏上全新的征程，奔赴法国总部跟各国赛区的冠军，进行新一轮的角逐。
98,98,　　1月3日当晚决赛精彩纷呈，每次battle都能引起全场的欢呼和呐喊。其中，掀起决战之夜高潮的要数LOCKING组的2V2决赛。在以力量和音乐震撼人心的LOCKING项目中，红队的肖杰对战LOCKING TA & ROLLBER。曾蝉联三届Keep On Dancing世界街舞精英挑战赛的locking组冠军的肖杰带领搭档把音乐、肢体、battle、耐力四者极度完美的融合在一起，一度在舞台上炸“飞”起来，引起在场观众阵阵惊呼，不负众望的赢得了裁判们的一致投票，一举拿下本年度JD中国赛区LOCKING组的冠军。
99,99,　　耀眼裁判组：EXO舞蹈老师炫技、当晚寿星Ben台上庆生
100,100,　　这场赛事中，JD带来了超豪华的裁判阵容：金学南、Ben、SCOO B DOO、KAPELA，他们不仅在判罚中起到关键性作用，在大赛特设的裁判秀中，他们的表演更是出神入化，精彩绝伦。尤其是金学南的秀，这位来自韩国、曾担任韩国男子天团EXO的舞蹈老师，完美演绎了一段机械舞，用他超高的身体素质与超强的舞蹈表现技艺为中国的观众展示了街舞的艺术。
101,101,　　裁判们高超的舞技为在YY LIVE上的观众带来惊喜的同时，来自德国的裁判Ben，在台上也收到了他开年以来的第一份生日礼物——现场工作人员精心准备的生日蛋糕。。Ben曾担纲过世界著名舞台剧《Flying Step》男主角，不仅是德国Adidas品牌年度秀艺人，还曾在2012年JD比赛获得Hiphop组的总冠军。作为JD历史上首位德国籍裁判，第一次在中国跟YY LIVE的网友们一起过生日，他表示很惊喜很开心。
102,102,"　,　新生代青出于蓝 少儿街舞引尖叫"
103,103,　　当晚，在中国赛区总决赛的舞台上，除了决出常规舞种冠军外，还首次新增了Kid All Style 1 On 1 Battle(5——14岁少儿组一对一全能挑战赛)。别看小选手们年纪轻轻，站在舞台上可一点也不怯场，秀起舞技时更是大家之范。在经历了激烈的海选和半决赛之后，选手俞文乐和赵天宇进入到最终的决赛。俞文乐在决赛中大出风头，驾轻就熟的非凡舞技，引来了全场观众的最高呼声，也赢得了四位裁判的青睐，成为中国赛区JD Kids的冠军。他将代表中国参加3月在法国总部举行的2017 Juste Debout世界街舞大赛总决赛。
104,104,　　3月独家直击JD法国总决赛 YY LIVE炫舞将引舞林高手入场
105,105,　　JD作为全球最顶级的街舞赛事平台，能最终站到总决赛舞台上一决高下的都是来自世界各地的顶尖高手，从2010年起，国内不断有街舞强者前往法国征战，燃起了中国舞者不断向这一世界最高舞台进发的激情。
